,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
0,2024-01-01T07:00:00-00:00,2024-01-01T07:15:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,36.57843,1,1
1,2024-01-01T07:15:00-00:00,2024-01-01T07:30:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,35.63017,2,1
2,2024-01-01T07:30:00-00:00,2024-01-01T07:45:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,35.47358,3,1
3,2024-01-01T07:45:00-00:00,2024-01-01T08:00:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,34.50295,4,1
4,2024-01-01T07:00:00-00:00,2024-01-01T07:15:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCC,LMP_CONG_PRC,PALOVRDE_5_N101,ALL,1,-0.0012,1,2
5,2024-01-01T07:15:00-00:00,2024-01-01T07:30:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCC,LMP_CONG_PRC,PALOVRDE_5_N101,ALL,1,-0.0036,2,2
6,2024-01-01T07:30:00-00:00,2024-01-01T07:45:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCC,LMP_CONG_PRC,PALOVRDE_5_N101,ALL,1,-0.0036,3,2
7,2024-01-01T07:45:00-00:00,2024-01-01T08:00:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCC,LMP_CONG_PRC,PALOVRDE_5_N101,ALL,1,-0.0012,4,2
8,2024-01-01T07:00:00-00:00,2024-01-01T07:15:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCE,LMP_ENE_PRC,PALOVRDE_5_N101,ALL,1,43.14078,1,3
9,2024-01-01T07:15:00-00:00,2024-01-01T07:30:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCE,LMP_ENE_PRC,PALOVRDE_5_N101,ALL,1,42.72772,2,3
10,2024-01-01T07:30:00-00:00,2024-01-01T07:45:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCE,LMP_ENE_PRC,PALOVRDE_5_N101,ALL,1,41.23155,3,3
11,2024-01-01T07:45:00-00:00,2024-01-01T08:00:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCE,LMP_ENE_PRC,PALOVRDE_5_N101,ALL,1,40.86141,4,3
12,2024-01-01T07:00:00-00:00,2024-01-01T07:15:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCL,LMP_LOSS_PRC,PALOVRDE_5_N101,ALL,1,-0.54203,1,4
13,2024-01-01T07:15:00-00:00,2024-01-01T07:30:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCL,LMP_LOSS_PRC,PALOVRDE_5_N101,ALL,1,-0.53894,2,4
14,2024-01-01T07:30:00-00:00,2024-01-01T07:45:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCL,LMP_LOSS_PRC,PALOVRDE_5_N101,ALL,1,-0.53291,3,4
15,2024-01-01T07:45:00-00:00,2024-01-01T08:00:00-00:00,2023-12-31,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,MCL,LMP_LOSS_PRC,PALOVRDE_5_N101,ALL,1,-0.52187,4,4
16,2024-01-01T08:00:00-00:00,2024-01-01T08:15:00-00:00,2024-01-01,1,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,41.53867,1,5
17,2024-01-01T09:00:00-00:00,2024-01-01T09:15:00-00:00,2024-01-01,2,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,39.83437,1,5
18,2024-01-01T10:00:00-00:00,2024-01-01T10:15:00-00:00,2024-01-01,3,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.37363,1,5
19,2024-01-01T11:00:00-00:00,2024-01-01T11:15:00-00:00,2024-01-01,4,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,37.76346,1,5
20,2024-01-01T12:00:00-00:00,2024-01-01T12:15:00-00:00,2024-01-01,5,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,41.70109,1,5
21,2024-01-01T13:00:00-00:00,2024-01-01T13:15:00-00:00,2024-01-01,6,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.828,1,5
