,INTERVALSTARTTIME_MST,INTERVALENDTIME_MST,NODE,LMP_TYPE,MW,Year,Month,Day,Hour (MST),Minute
23,2024-06-29 00:00:00,2024-06-29 01:00:00,PALOVRDE_5_N101,LMP,40.50977,2024,06,29,00,00
48,2024-06-29 00:00:00,2024-06-29 01:00:00,PALOVRDE_5_N101,Energy,41.69388,2024,06,29,00,00
32,2024-06-29 00:00:00,2024-06-29 01:00:00,PALOVRDE_5_N101,Congestion,0.0,2024,06,29,00,00
107,2024-06-29 00:00:00,2024-06-29 01:00:00,PALOVRDE_5_N101,Greenhouse Gas,0.0,2024,06,29,00,00
72,2024-06-29 00:00:00,2024-06-29 01:00:00,PALOVRDE_5_N101,Loss,-1.18411,2024,06,29,00,00
33,2024-06-29 01:00:00,2024-06-29 02:00:00,PALOVRDE_5_N101,Congestion,0.0,2024,06,29,01,00
14,2024-06-29 01:00:00,2024-06-29 02:00:00,PALOVRDE_5_N101,LMP,37.90732,2024,06,29,01,00
67,2024-06-29 01:00:00,2024-06-29 02:00:00,PALOVRDE_5_N101,Energy,38.96723,2024,06,29,01,00
77,2024-06-29 01:00:00,2024-06-29 02:00:00,PALOVRDE_5_N101,Loss,-1.05991,2024,06,29,01,00
108,2024-06-29 01:00:00,2024-06-29 02:00:00,PALOVRDE_5_N101,Greenhouse Gas,0.0,2024,06,29,01,00
5,2024-06-29 02:00:00,2024-06-29 03:00:00,PALOVRDE_5_N101,LMP,38.61173,2024,06,29,02,00
115,2024-06-29 02:00:00,2024-06-29 03:00:00,PALOVRDE_5_N101,Greenhouse Gas,0.0,2024,06,29,02,00
88,2024-06-29 02:00:00,2024-06-29 03:00:00,PALOVRDE_5_N101,Loss,-1.02256,2024,06,29,02,00
45,2024-06-29 02:00:00,2024-06-29 03:00:00,PALOVRDE_5_N101,Congestion,0.0,2024,06,29,02,00
66,2024-06-29 02:00:00,2024-06-29 03:00:00,PALOVRDE_5_N101,Energy,39.6343,2024,06,29,02,00
21,2024-06-29 03:00:00,2024-06-29 04:00:00,PALOVRDE_5_N101,LMP,37.13215,2024,06,29,03,00
37,2024-06-29 03:00:00,2024-06-29 04:00:00,PALOVRDE_5_N101,Congestion,0.0,2024,06,29,03,00
63,2024-06-29 03:00:00,2024-06-29 04:00:00,PALOVRDE_5_N101,Energy,38.15861,2024,06,29,03,00
101,2024-06-29 03:00:00,2024-06-29 04:00:00,PALOVRDE_5_N101,Greenhouse Gas,0.0,2024,06,29,03,00
74,2024-06-29 03:00:00,2024-06-29 04:00:00,PALOVRDE_5_N101,Loss,-1.02647,2024,06,29,03,00
43,2024-06-29 04:00:00,2024-06-29 05:00:00,PALOVRDE_5_N101,Congestion,0.0,2024,06,29,04,00
15,2024-06-29 04:00:00,2024-06-29 05:00:00,PALOVRDE_5_N101,LMP,37.4652,2024,06,29,04,00
49,2024-06-29 04:00:00,2024-06-29 05:00:00,PALOVRDE_5_N101,Energy,38.55238,2024,06,29,04,00
112,2024-06-29 04:00:00,2024-06-29 05:00:00,PALOVRDE_5_N101,Greenhouse Gas,0.0,2024,06,29,04,00
89,2024-06-29 04:00:00,2024-06-29 05:00:00,PALOVRDE_5_N101,Loss,-1.08718,2024,06,29,04,00
58,2024-06-29 05:00:00,2024-06-29 06:00:00,PALOVRDE_5_N101,Energy,39.31807,2024,06,29,05,00
73,2024-06-29 05:00:00,2024-06-29 06:00:00,PALOVRDE_5_N101,Loss,-1.38006,2024,06,29,05,00
24,2024-06-29 05:00:00,2024-06-29 06:00:00,PALOVRDE_5_N101,Congestion,0.0,2024,06,29,05,00
8,2024-06-29 05:00:00,2024-06-29 06:00:00,PALOVRDE_5_N101,LMP,37.938,2024,06,29,05,00
116,2024-06-29 05:00:00,2024-06-29 06:00:00,PALOVRDE_5_N101,Greenhouse Gas,0.0,2024,06,29,05,00
57,2024-06-29 06:00:00,2024-06-29 07:00:00,PALOVRDE_5_N101,Energy,32.77051,2024,06,29,06,00
92,2024-06-29 06:00:00,2024-06-29 07:00:00,PALOVRDE_5_N101,Loss,-1.50744,2024,06,29,06,00
30,2024-06-29 06:00:00,2024-06-29 07:00:00,PALOVRDE_5_N101,Congestion,0.0,2024,06,29,06,00
96,2024-06-29 06:00:00,2024-06-29 07:00:00,PALOVRDE_5_N101,Greenhouse Gas,0.0,2024,06,29,06,00
0,2024-06-29 06:00:00,2024-06-29 07:00:00,PALOVRDE_5_N101,LMP,31.26307,2024,06,29,06,00
98,2024-06-29 07:00:00,2024-06-29 08:00:00,PALOVRDE_5_N101,Greenhouse Gas,0.0,2024,06,29,07,00
64,2024-06-29 07:00:00,2024-06-29 08:00:00,PALOVRDE_5_N101,Energy,18.94172,2024,06,29,07,00
83,2024-06-29 07:00:00,2024-06-29 08:00:00,PALOVRDE_5_N101,Loss,-1.02285,2024,06,29,07,00
36,2024-06-29 07:00:00,2024-06-29 08:00:00,PALOVRDE_5_N101,Congestion,0.0,2024,06,29,07,00
3,2024-06-29 07:00:00,2024-06-29 08:00:00,PALOVRDE_5_N101,LMP,17.91886,2024,06,29,07,00
